"SalePrice","Gr Liv Area","TotRms AbvGrd","Year Built","Overall Qual","House Style","Neighborhood","Garage Cars","Full Bath"
165000,1146,6,1963,6,"SLvl","NAmes",1,1
91500,1218,7,1971,6,"2Story","BrDale",0,1
2e+05,1607,7,1999,8,"2Story","Somerst",2,2
185900,1651,7,1999,7,"2Story","Gilbert",2,2
1e+05,1764,7,1957,5,"1Story","NAmes",1,2
149500,988,6,1959,6,"1Story","NAmes",1,2
383970,2696,10,2007,7,"2Story","CollgCr",3,2
135000,864,5,1961,5,"1Story","Sawyer",1,1
115500,1093,5,1958,4,"1Story","OldTown",1,1
302000,1824,5,1971,7,"1Story","ClearCr",2,2
191000,1636,7,1998,6,"2Story","Gilbert",2,2
176000,1253,6,1995,7,"1Story","Gilbert",2,2
134800,900,5,1951,5,"1Story","NAmes",2,1
64500,1020,5,1918,3,"1.5Unf","IDOTRR",0,1
290000,1660,8,2006,8,"1Story","Somerst",2,2
64500,666,4,1946,3,"1Story","BrkSide",0,1
82000,944,4,1952,3,"1Story","Edwards",2,1
118000,864,5,1959,5,"1Story","NAmes",1,1
295000,3493,10,1880,7,"2.5Fin","OldTown",3,3
224000,1906,6,1954,6,"1Story","Crawfor",2,1
173000,1636,7,1996,6,"2Story","Gilbert",2,2
132000,1322,7,1939,5,"1.5Fin","BrkSide",1,1
140000,1668,6,1950,6,"1.5Fin","NAmes",1,1
236500,1898,7,1956,5,"1Story","Crawfor",2,2
123000,894,6,1972,5,"1Story","CollgCr",2,1
200500,1682,7,1998,6,"2Story","CollgCr",2,2
157000,1497,5,1937,6,"1.5Fin","BrkSide",1,2
192000,1489,8,2003,7,"2Story","Gilbert",2,2
55000,1086,5,1920,2,"2Story","OldTown",2,1
71000,1092,6,1970,4,"2Story","MeadowV",1,1
